%I(h,k,l) =  |F(h,k,l)|^2/<P(h,k,l)>/M x <P(h,k,l)> x M x factor(Lorentz and Geometric)
%h, k, l, qx, qy, qz, |F(h,k,l)|^2/<P(h,k,l)>/M, <P(h,k,l)>, M, factor(Lorentz and Geometric)
-2 2 -2 -1.797800000e-02 1.797800000e-02 -1.797800000e-02 1.663175030e+00     0.000000000 1    82.070320433
-2 -2 -2 -1.797800000e-02 -1.797800000e-02 -1.797800000e-02 1.663175030e+00     0.000000000 1    82.070320433
-2 -2 2 -1.797800000e-02 -1.797800000e-02 1.797800000e-02 1.663175030e+00     0.000000000 1    82.070320433
-2 2 2 -1.797800000e-02 1.797800000e-02 1.797800000e-02 1.663175030e+00     0.000000000 1    82.070320433
2 -2 2 1.797800000e-02 -1.797800000e-02 1.797800000e-02 1.663175030e+00     0.000000000 1    82.070320433
3 2 0 2.696700000e-02 1.797800000e-02 0.000000000e+00 1.796660753e+00     0.000000000 1    75.757218862
2 0 3 1.797800000e-02 0.000000000e+00 2.696700000e-02 1.796660753e+00     0.000000000 1    75.757218862
0 3 2 0.000000000e+00 2.696700000e-02 1.797800000e-02 1.796660753e+00     0.000000000 1    75.757218862
2 0 -3 1.797800000e-02 0.000000000e+00 -2.696700000e-02 1.796660753e+00     0.000000000 1    75.757218862
0 3 -2 0.000000000e+00 2.696700000e-02 -1.797800000e-02 1.796660753e+00     0.000000000 1    75.757218862
-3 2 0 -2.696700000e-02 1.797800000e-02 0.000000000e+00 1.796660753e+00     0.000000000 1    75.757218862
2 3 0 1.797800000e-02 2.696700000e-02 0.000000000e+00 1.796660753e+00     0.000000000 1    75.757218862
0 2 3 0.000000000e+00 1.797800000e-02 2.696700000e-02 1.796660753e+00     0.000000000 1    75.757218862
3 0 2 2.696700000e-02 0.000000000e+00 1.797800000e-02 1.796660753e+00     0.000000000 1    75.757218862
0 2 -3 0.000000000e+00 1.797800000e-02 -2.696700000e-02 1.796660753e+00     0.000000000 1    75.757218862
3 0 -2 2.696700000e-02 0.000000000e+00 -1.797800000e-02 1.796660753e+00     0.000000000 1    75.757218862
2 -3 0 1.797800000e-02 -2.696700000e-02 0.000000000e+00 1.796660753e+00     0.000000000 1    75.757218862
-3 -2 0 -2.696700000e-02 -1.797800000e-02 0.000000000e+00 1.796660753e+00     0.000000000 1    75.757218862
-2 0 -3 -1.797800000e-02 0.000000000e+00 -2.696700000e-02 1.796660753e+00     0.000000000 1    75.757218862
0 -3 -2 0.000000000e+00 -2.696700000e-02 -1.797800000e-02 1.796660753e+00     0.000000000 1    75.757218862
-2 0 3 -1.797800000e-02 0.000000000e+00 2.696700000e-02 1.796660753e+00     0.000000000 1    75.757218862
0 -3 2 0.000000000e+00 -2.696700000e-02 1.797800000e-02 1.796660753e+00     0.000000000 1    75.757218862
3 -2 0 2.696700000e-02 -1.797800000e-02 0.000000000e+00 1.796660753e+00     0.000000000 1    75.757218862
-2 -3 0 -1.797800000e-02 -2.696700000e-02 0.000000000e+00 1.796660753e+00     0.000000000 1    75.757218862
0 -2 -3 0.000000000e+00 -1.797800000e-02 -2.696700000e-02 1.796660753e+00     0.000000000 1    75.757218862
-3 0 -2 -2.696700000e-02 0.000000000e+00 -1.797800000e-02 1.796660753e+00     0.000000000 1    75.757218862
0 -2 3 0.000000000e+00 -1.797800000e-02 2.696700000e-02 1.796660753e+00     0.000000000 1    75.757218862
-3 0 2 -2.696700000e-02 0.000000000e+00 1.797800000e-02 1.796660753e+00     0.000000000 1    75.757218862
-2 3 0 -1.797800000e-02 2.696700000e-02 0.000000000e+00 1.796660753e+00     0.000000000 1    75.757218862
3 2 1 2.696700000e-02 1.797800000e-02 8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
2 1 3 1.797800000e-02 8.989000000e-03 2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
1 3 2 8.989000000e-03 2.696700000e-02 1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
3 2 -1 2.696700000e-02 1.797800000e-02 -8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
2 1 -3 1.797800000e-02 8.989000000e-03 -2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
1 3 -2 8.989000000e-03 2.696700000e-02 -1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
2 -1 -3 1.797800000e-02 -8.989000000e-03 -2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
1 -3 -2 8.989000000e-03 -2.696700000e-02 -1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
-1 3 -2 -8.989000000e-03 2.696700000e-02 -1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
-3 2 -1 -2.696700000e-02 1.797800000e-02 -8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
-2 1 -3 -1.797800000e-02 8.989000000e-03 -2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
3 -2 -1 2.696700000e-02 -1.797800000e-02 -8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
2 3 1 1.797800000e-02 2.696700000e-02 8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
1 2 3 8.989000000e-03 1.797800000e-02 2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
3 1 2 2.696700000e-02 8.989000000e-03 1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
2 3 -1 1.797800000e-02 2.696700000e-02 -8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
1 2 -3 8.989000000e-03 1.797800000e-02 -2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
3 1 -2 2.696700000e-02 8.989000000e-03 -1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
-1 2 -3 -8.989000000e-03 1.797800000e-02 -2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
-3 1 -2 -2.696700000e-02 8.989000000e-03 -1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
3 -1 -2 2.696700000e-02 -8.989000000e-03 -1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
2 -3 -1 1.797800000e-02 -2.696700000e-02 -8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
1 -2 -3 8.989000000e-03 -1.797800000e-02 -2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
-2 3 -1 -1.797800000e-02 2.696700000e-02 -8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
-3 -2 -1 -2.696700000e-02 -1.797800000e-02 -8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
-2 -1 -3 -1.797800000e-02 -8.989000000e-03 -2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
-1 -3 -2 -8.989000000e-03 -2.696700000e-02 -1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
-3 -2 1 -2.696700000e-02 -1.797800000e-02 8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
-2 -1 3 -1.797800000e-02 -8.989000000e-03 2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
-1 -3 2 -8.989000000e-03 -2.696700000e-02 1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
-2 1 3 -1.797800000e-02 8.989000000e-03 2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
-1 3 2 -8.989000000e-03 2.696700000e-02 1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
1 -3 2 8.989000000e-03 -2.696700000e-02 1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
3 -2 1 2.696700000e-02 -1.797800000e-02 8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
2 -1 3 1.797800000e-02 -8.989000000e-03 2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
-3 2 1 -2.696700000e-02 1.797800000e-02 8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
-2 -3 -1 -1.797800000e-02 -2.696700000e-02 -8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
-1 -2 -3 -8.989000000e-03 -1.797800000e-02 -2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
-3 -1 -2 -2.696700000e-02 -8.989000000e-03 -1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
-2 -3 1 -1.797800000e-02 -2.696700000e-02 8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
-1 -2 3 -8.989000000e-03 -1.797800000e-02 2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
-3 -1 2 -2.696700000e-02 -8.989000000e-03 1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
1 -2 3 8.989000000e-03 -1.797800000e-02 2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
3 -1 2 2.696700000e-02 -8.989000000e-03 1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
-3 1 2 -2.696700000e-02 8.989000000e-03 1.797800000e-02 1.935362168e+00     0.000000000 1    70.345988943
-2 3 1 -1.797800000e-02 2.696700000e-02 8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
-1 2 3 -8.989000000e-03 1.797800000e-02 2.696700000e-02 1.935362168e+00     0.000000000 1    70.345988943
2 -3 1 1.797800000e-02 -2.696700000e-02 8.989000000e-03 1.935362168e+00     0.000000000 1    70.345988943
4 0 0 3.595600000e-02 0.000000000e+00 0.000000000e+00 7.470301628e+00     0.000000000 1    61.552740325
0 0 4 0.000000000e+00 0.000000000e+00 3.595600000e-02 7.470301628e+00     0.000000000 1    61.552740325
0 4 0 0.000000000e+00 3.595600000e-02 0.000000000e+00 7.470301628e+00     0.000000000 1    61.552740325
-4 0 0 -3.595600000e-02 0.000000000e+00 0.000000000e+00 7.470301628e+00     0.000000000 1    61.552740325
