%q Iq Pq Sq Zq Bq Bq2
1.043542700e-02 8.272094528e+00 1.993267166e-12 8.679173187e-02 1.030322175e-02 9.999999912e-01 1.000000000e+00
1.048823100e-02 8.253008520e+00 1.992340519e-12 8.688731640e-02 1.039616099e-02 9.999999911e-01 1.000000000e+00
1.054103500e-02 8.234681209e+00 1.991409570e-12 8.698528643e-02 1.049082677e-02 9.999999910e-01 1.000000000e+00
1.059383900e-02 8.217100492e+00 1.990474324e-12 8.708571073e-02 1.058728273e-02 9.999999909e-01 1.000000000e+00
1.064664200e-02 8.200255550e+00 1.989534806e-12 8.718866088e-02 1.068559554e-02 9.999999908e-01 1.000000000e+00
1.069944600e-02 8.184135617e+00 1.988590985e-12 8.729421966e-02 1.078584306e-02 9.999999907e-01 1.000000000e+00
1.075225000e-02 8.168731926e+00 1.987642885e-12 8.740247017e-02 1.088810393e-02 9.999999906e-01 1.000000000e+00
1.080505400e-02 8.154036473e+00 1.986690510e-12 8.751350444e-02 1.099246594e-02 9.999999905e-01 1.000000000e+00
1.085785700e-02 8.140042664e+00 1.985733886e-12 8.762742037e-02 1.109902317e-02 9.999999905e-01 1.000000000e+00
1.091066100e-02 8.126744350e+00 1.984772981e-12 8.774433172e-02 1.120788551e-02 9.999999904e-01 1.000000000e+00
1.096346500e-02 8.114137522e+00 1.983807819e-12 8.786435668e-02 1.131916804e-02 9.999999903e-01 1.000000000e+00
1.101626900e-02 8.102219368e+00 1.982838407e-12 8.798762830e-02 1.143300107e-02 9.999999902e-01 1.000000000e+00
1.106907300e-02 8.090988711e+00 1.981864749e-12 8.811429468e-02 1.154953043e-02 9.999999901e-01 1.000000000e+00
1.112187600e-02 8.080446406e+00 1.980886869e-12 8.824451920e-02 1.166891808e-02 9.999999900e-01 1.000000000e+00
1.117468000e-02 8.070594818e+00 1.979904738e-12 8.837849392e-02 1.179135477e-02 9.999999899e-01 1.000000000e+00
1.122748400e-02 8.061439347e+00 1.978918379e-12 8.851642913e-02 1.191705091e-02 9.999999898e-01 1.000000000e+00
1.128028800e-02 8.052988034e+00 1.977927798e-12 8.865856847e-02 1.204625111e-02 9.999999897e-01 1.000000000e+00
1.133309100e-02 8.045252441e+00 1.976933019e-12 8.880519055e-02 1.217923646e-02 9.999999896e-01 1.000000000e+00
1.138589500e-02 8.038247756e+00 1.975934012e-12 8.895662881e-02 1.231634356e-02 9.999999895e-01 1.000000000e+00
1.143869900e-02 8.031994563e+00 1.974930800e-12 8.911326608e-02 1.245796108e-02 9.999999894e-01 1.000000000e+00
1.149150300e-02 8.026519387e+00 1.973923390e-12 8.927556011e-02 1.260455463e-02 9.999999893e-01 1.000000000e+00
1.154430600e-02 8.021856447e+00 1.972911806e-12 8.944405667e-02 1.275668110e-02 9.999999892e-01 1.000000000e+00
1.159711000e-02 8.018049332e+00 1.971896017e-12 8.961942774e-02 1.291502632e-02 9.999999891e-01 1.000000000e+00
1.164991400e-02 8.015154241e+00 1.970876048e-12 8.980248637e-02 1.308042292e-02 9.999999890e-01 1.000000000e+00
1.170271800e-02 8.013243303e+00 1.969851904e-12 8.999424553e-02 1.325390932e-02 9.999999889e-01 1.000000000e+00
1.175552100e-02 8.012409764e+00 1.968823611e-12 9.019597474e-02 1.343678908e-02 9.999999888e-01 1.000000000e+00
1.180832500e-02 8.012775069e+00 1.967791136e-12 9.040930467e-02 1.363073686e-02 9.999999887e-01 1.000000000e+00
1.186112900e-02 8.014499100e+00 1.966754506e-12 9.063633111e-02 1.383790849e-02 9.999999886e-01 1.000000000e+00
1.191393300e-02 8.017794767e+00 1.965713725e-12 9.087981360e-02 1.406114398e-02 9.999999885e-01 1.000000000e+00
1.196673700e-02 8.022949721e+00 1.964668801e-12 9.114344285e-02 1.430424387e-02 9.999999884e-01 1.000000000e+00
1.201954000e-02 8.030358895e+00 1.963619759e-12 9.143224398e-02 1.457238578e-02 9.999999883e-01 1.000000000e+00
1.207234400e-02 8.040575628e+00 1.962566565e-12 9.175323065e-02 1.487279698e-02 9.999999882e-01 1.000000000e+00
1.212514800e-02 8.054390923e+00 1.961509246e-12 9.211637395e-02 1.521575740e-02 9.999999881e-01 1.000000000e+00
1.217795200e-02 8.072964583e+00 1.960447809e-12 9.253625737e-02 1.561630506e-02 9.999999880e-01 1.000000000e+00
1.223075500e-02 8.098044273e+00 1.959382278e-12 9.303480989e-02 1.609705743e-02 9.999999879e-01 1.000000000e+00
1.228355900e-02 8.132349592e+00 1.958312622e-12 9.364612491e-02 1.669318193e-02 9.999999878e-01 1.000000000e+00
1.233636300e-02 8.180256286e+00 1.957238865e-12 9.442500106e-02 1.746121438e-02 9.999999877e-01 1.000000000e+00
1.238916700e-02 8.249070781e+00 1.956161014e-12 9.546290881e-02 1.849553706e-02 9.999999876e-01 1.000000000e+00
1.244197000e-02 8.351420686e+00 1.955079096e-12 9.691791456e-02 1.995927236e-02 9.999999875e-01 1.000000000e+00
1.249477400e-02 8.509603539e+00 1.953993077e-12 9.906917421e-02 2.214055137e-02 9.999999874e-01 1.000000000e+00
1.254757800e-02 8.761749008e+00 1.952902984e-12 1.023942308e-01 2.553239428e-02 9.999999872e-01 1.000000000e+00
1.260038200e-02 9.158902918e+00 1.951808822e-12 1.075331441e-01 3.079597555e-02 9.999999871e-01 1.000000000e+00
1.265318500e-02 9.689090026e+00 1.950710619e-12 1.143392973e-01 3.778148575e-02 9.999999870e-01 1.000000000e+00
1.270598900e-02 1.004379362e+01 1.949608340e-12 1.189551948e-01 4.250913590e-02 9.999999869e-01 1.000000000e+00
1.275879300e-02 9.818380405e+00 1.948502013e-12 1.163112145e-01 3.974365480e-02 9.999999868e-01 1.000000000e+00
1.281159700e-02 9.296076804e+00 1.947391643e-12 1.099430261e-01 3.313004667e-02 9.999999867e-01 1.000000000e+00
1.286440000e-02 8.870269363e+00 1.946277259e-12 1.047750782e-01 2.775156626e-02 9.999999866e-01 1.000000000e+00
1.291720400e-02 8.599166635e+00 1.945158824e-12 1.015394824e-01 2.436555020e-02 9.999999865e-01 1.000000000e+00
